M. Quinquela Martín	Quinquela Martín, Benito	http://vocab.getty.edu/ulan/500157451	http://id.loc.gov/authorities/names/n50051437
B Quinquela Martín	Quinquela Martín, Benito	http://vocab.getty.edu/ulan/500157451	http://id.loc.gov/authorities/names/n50051437
M Quinquela Martín	Quinquela Martín, Benito	http://vocab.getty.edu/ulan/500157451	http://id.loc.gov/authorities/names/n50051437
M. Benito Quinquela Martín	Quinquela Martín, Benito	http://vocab.getty.edu/ulan/500157451	http://id.loc.gov/authorities/names/n50051437
Martín, Benito Quinquela	Quinquela Martín, Benito	http://vocab.getty.edu/ulan/500157451	http://id.loc.gov/authorities/names/n50051437
Quinquela-Martin, Benito	Quinquela Martín, Benito	http://vocab.getty.edu/ulan/500157451	http://id.loc.gov/authorities/names/n50051437
Benito Quinquela-Martin	Quinquela Martín, Benito	http://vocab.getty.edu/ulan/500157451	http://id.loc.gov/authorities/names/n50051437
Quinquela, Benito	Quinquela Martín, Benito	http://vocab.getty.edu/ulan/500157451	http://id.loc.gov/authorities/names/n50051437
Martin, Quinquela	Quinquela Martín, Benito	http://vocab.getty.edu/ulan/500157451	http://id.loc.gov/authorities/names/n50051437
Antonio Quirós	Quirós, Antonio	http://vocab.getty.edu/ulan/500040030
M. Quirós	Quirós, Antonio	http://vocab.getty.edu/ulan/500040030
A. Quirós	Quirós, Antonio	http://vocab.getty.edu/ulan/500040030
M Quirós	Quirós, Antonio	http://vocab.getty.edu/ulan/500040030
